City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,shingu,33.7333,135.9833,23.13,96,100,7.53,JP,1686254718
291,papetoai,-17.4961,-149.8729,27.77,60,77,8.27,PF,1686254718
292,sao joao da barra,-21.6403,-41.0511,24.05,77,0,5.36,BR,1686254718
293,richards bay,-28.783,32.0377,19.99,88,19,2.66,ZA,1686254718
294,ende,-8.8432,121.6623,24.97,91,96,2.09,ID,1686254718
295,zeya,53.75,127.2667,13.65,96,100,1.62,RU,1686254718
296,mount isa,-20.7333,139.5,16.87,55,92,4.12,AU,1686254468
297,mitsamiouli,-11.3847,43.2844,26.25,75,10,2.48,KM,1686254718
298,ostrovnoy,68.0531,39.5131,3.66,80,100,5.27,RU,1686254718
299,oranjemund,-28.55,16.4333,14.46,76,0,3.65,NA,1686254718
300,san rafael,-34.6177,-68.3301,25.53,19,14,4.28,AR,1686254718
301,salekhard,66.53,66.6019,4.7,69,96,1.2,RU,1686254718
302,buraydah,26.326,43.975,29.25,9,0,4.83,SA,1686254660
303,fallon,39.4735,-118.7774,27.18,32,40,1.54,US,1686254537
304,kamenka,51.3223,42.7678,16.05,69,97,3.38,RU,1686254719
305,antakya,36.2066,36.1572,23.9,42,100,2.66,TR,1686254719
306,coquimbo,-29.9533,-71.3436,15.85,77,75,4.12,CL,1686254719
307,isiro,2.7739,27.616,19.03,99,100,1.34,CD,1686254719
308,parabel,58.6978,81.4825,14.0,83,88,4.24,RU,1686254719
309,narsaq,60.9167,-46.05,11.12,46,31,4.84,GL,1686254719
310,vardo,70.3705,31.1107,2.99,81,75,8.23,NO,1686254719
311,nevsehir,38.9167,34.6667,17.56,63,75,3.6,TR,1686254719
312,saint-michel-des-saints,46.6834,-73.9159,14.96,79,100,2.67,CA,1686254719
313,lac du bonnet,50.2536,-96.0612,27.14,49,86,2.14,CA,1686254719
314,marawi,7.9986,124.2928,20.79,95,84,1.95,PH,1686254719
315,conakry,9.538,-13.6773,30.04,79,40,4.12,GN,1686254719
316,rio grande,-32.035,-52.0986,27.06,77,4,2.52,BR,1686254720
317,kondinskoye,59.6481,67.41,12.21,64,100,1.51,RU,1686254720
318,el higo,21.7667,-98.4667,35.45,47,50,4.32,MX,1686254720
319,petatlan,17.5167,-101.2667,32.89,45,99,3.51,MX,1686254720
